"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2011","8.2646","8.2720","8.3030","8.2545","","-0.09%"
"12/22/2011","8.2720","8.2687","8.3194","8.2518","","0.06%"
"12/21/2011","8.2668","8.2998","8.3664","8.2560","","-0.40%"
"12/20/2011","8.3004","8.2389","8.3352","8.2324","","0.81%"
"12/19/2011","8.2338","8.2789","8.2830","8.2314","","-0.49%"
"12/16/2011","8.2745","8.2957","8.3148","8.2497","","-0.23%"
"12/15/2011","8.2932","8.2696","8.3180","8.2577","","0.32%"
"12/14/2011","8.2664","8.2927","8.3229","8.2486","","-0.36%"
"12/13/2011","8.2965","8.3875","8.4263","8.2806","","-1.09%"
"12/12/2011","8.3881","8.5158","8.5197","8.3725","","-1.46%"
"12/09/2011","8.5120","8.4873","8.5503","8.4544","","0.28%"
"12/08/2011","8.4879","8.5363","8.5644","8.4553","","-0.53%"
"12/07/2011","8.5331","8.5278","8.5620","8.4977","","0.06%"
"12/06/2011","8.5284","8.5193","8.5469","8.4866","","0.02%"
"12/05/2011","8.5263","8.5441","8.5837","8.5118","","0.04%"
"12/02/2011","8.5231","8.5692","8.6176","8.4987","","-0.52%"
"12/01/2011","8.5673","8.5708","8.6118","8.5416","","-0.05%"
"11/30/2011","8.5714","8.4908","8.6295","8.4477","","0.88%"
"11/29/2011","8.4966","8.4982","8.5729","8.4776","","0.00%"
"11/28/2011","8.4970","8.4965","8.5558","8.4691","","0.63%"
"11/25/2011","8.4436","8.4901","8.4996","8.4310","","-0.55%"
"11/24/2011","8.4907","8.4829","8.5331","8.4716","","0.14%"
"11/23/2011","8.4785","8.5918","8.6084","8.4691","","-1.35%"
"11/22/2011","8.5943","8.5820","8.6317","8.5739","","0.11%"
"11/21/2011","8.5851","8.5851","8.6152","8.5439","","-0.04%"
"11/18/2011","8.5889","8.5471","8.6549","8.5407","","0.50%"
"11/17/2011","8.5459","8.5384","8.6005","8.5161","","0.09%"
"11/16/2011","8.5384","8.5899","8.6037","8.5258","","-0.58%"
"11/15/2011","8.5886","8.6600","8.6794","8.5664","","-0.81%"
"11/14/2011","8.6587","8.7552","8.7602","8.6380","","-0.71%"
"11/11/2011","8.7203","8.6291","8.7497","8.6119","","1.00%"
"11/10/2011","8.6342","8.5870","8.6654","8.5582","","0.52%"
"11/09/2011","8.5896","8.7800","8.7960","8.5742","","-2.18%"
"11/08/2011","8.7806","8.7445","8.7890","8.7122","","0.46%"
"11/07/2011","8.7407","8.7720","8.7750","8.6868","","-0.05%"
"11/04/2011","8.7454","8.7718","8.7925","8.6932","","-0.32%"
"11/03/2011","8.7737","8.7369","8.8002","8.6721","","0.44%"
"11/02/2011","8.7356","8.7021","8.7908","8.6660","","0.39%"
"11/01/2011","8.7014","8.8044","8.8146","8.6482","","-1.18%"
"10/31/2011","8.8057","8.9939","9.0106","8.7880","","-2.08%"
"10/28/2011","8.9926","9.0171","9.0315","8.9865","","-0.30%"
"10/27/2011","9.0196","8.8198","9.0611","8.8090","","2.13%"
"10/26/2011","8.8319","8.8468","8.8798","8.7668","","-0.11%"
"10/25/2011","8.8417","8.8781","8.8836","8.8090","","-0.39%"
"10/24/2011","8.8762","8.8484","8.8983","8.8116","","0.10%"
"10/21/2011","8.8676","8.7906","8.8751","8.7477","","0.86%"
"10/20/2011","8.7919","8.7702","8.8379","8.7185","","0.25%"
"10/19/2011","8.7702","8.7654","8.8463","8.7573","","0.07%"
"10/18/2011","8.7641","8.7452","8.8172","8.7115","","0.14%"
"10/17/2011","8.7516","8.8551","8.8640","8.7430","","-1.11%"
"10/14/2011","8.8495","8.7884","8.8642","8.7587","","0.67%"
"10/13/2011","8.7903","8.7626","8.8192","8.7335","","0.29%"
"10/12/2011","8.7651","8.6993","8.7979","8.6545","","0.79%"
"10/11/2011","8.6967","8.6571","8.7242","8.6404","","0.44%"
"10/10/2011","8.6584","8.5386","8.6968","8.5285","","1.55%"
"10/07/2011","8.5259","8.5644","8.6225","8.5173","","-0.45%"
"10/06/2011","8.5644","8.5119","8.5807","8.4415","","0.67%"
"10/05/2011","8.5074","8.5080","8.5326","8.4526","","-0.04%"
"10/04/2011","8.5106","8.4016","8.5237","8.3803","","1.39%"
"10/03/2011","8.3939","8.5057","8.6661","8.3917","","-1.67%"
"09/30/2011","8.5363","8.6882","8.7024","8.5411","","-1.81%"
"09/29/2011","8.6940","8.6478","8.7518","8.6439","","0.48%"
"09/28/2011","8.6523","8.6929","8.7535","8.6527","","-0.46%"
"09/27/2011","8.6923","8.6539","8.7456","8.6239","","0.40%"
"09/26/2011","8.6577","8.6269","8.6681","8.5392","","0.44%"
"09/23/2011","8.6199","8.5975","8.6695","8.5712","","0.25%"
"09/22/2011","8.5981","8.6636","8.6860","8.5505","","-0.73%"
"09/21/2011","8.6617","8.7457","8.8001","8.6525","","-1.00%"
"09/20/2011","8.7495","8.7315","8.7752","8.6824","","0.13%"
"09/19/2011","8.7385","8.7260","8.7631","8.6825","","-0.76%"
"09/16/2011","8.8052","8.8685","8.8715","8.7795","","-0.74%"
"09/15/2011","8.8704","8.7819","8.9089","8.7551","","0.99%"
"09/14/2011","8.7838","8.7538","8.8111","8.6947","","0.34%"
"09/13/2011","8.7544","8.7301","8.7926","8.6747","","0.26%"
"09/12/2011","8.7320","8.6666","8.7480","8.6245","","0.13%"
"09/09/2011","8.7203","8.8607","8.9030","8.7053","","-1.60%"
"09/08/2011","8.8619","9.0076","9.0119","8.8553","","-1.65%"
"09/07/2011","9.0102","8.9422","9.0434","8.9426","","0.74%"
"09/06/2011","8.9441","9.0006","9.1236","8.9291","","-0.59%"
"09/05/2011","8.9975","9.0401","9.0549","8.9788","","-0.74%"
"09/02/2011","9.0644","9.0974","9.1218","9.0530","","-0.38%"
"09/01/2011","9.0993","9.1684","9.1746","9.0777","","-0.77%"
"08/31/2011","9.1697","9.2100","9.2282","9.1596","","-0.46%"
